,name,value,id,size,genres
55,Uruguay,54,URY,54,"[{'title': 'Rock', 'value': 6.0}, {'title': 'Punk Rock', 'value': 3.0}, {'title': 'Hard Rock', 'value': 2.0}, {'title': 'Pop', 'value': 1.0}, {'title': 'Jazz', 'value': 1.0}, {'title': 'Candombe', 'value': 1.0}, {'title': 'Hip Hop', 'value': 1.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}]"
56,Peru,53,PER,53,"[{'title': 'Rock', 'value': 2.0}, {'title': 'Cumbia', 'value': 1.0}, {'title': 'Pop Rock', 'value': 1.0}, {'title': 'Latin', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Noha', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}]"
57,Dominican Republic,46,DOM,46,"[{'title': 'Latin Pop', 'value': 1.0}, {'title': 'Comedy', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Old-time Music', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}]"
58,Vietnam,42,VNM,42,"[{'title': 'Heavy Metal', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'New Wave', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
59,Albania,37,ALB,37,"[{'title': 'R\\u0026B', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Nintendocore', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
60,Latvia,36,LVA,36,"[{'title': 'Rock', 'value': 2.0}, {'title': 'Ambient', 'value': 1.0}, {'title': 'Folk Metal', 'value': 1.0}, {'title': 'Electronic', 'value': 1.0}, {'title': 'Pop', 'value': 1.0}, {'title': 'Schlager', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}]"
61,Slovenia,33,SVN,33,"[{'title': 'Pop', 'value': 1.0}, {'title': 'Industrial', 'value': 1.0}, {'title': 'Industrial Metal', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}]"
62,Bosnia and Herzegovina,33,BIH,33,"[{'title': 'Pop', 'value': 2.0}, {'title': 'Rock', 'value': 2.0}, {'title': 'Power Metal', 'value': 1.0}, {'title': 'Rap Rock', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Nintendocore', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}]"
63,Singapore,33,SGP,33,"[{'title': 'Rock', 'value': 1.0}, {'title': 'Dance', 'value': 1.0}, {'title': 'Death Metal', 'value': 1.0}, {'title': 'Indie Rock', 'value': 1.0}, {'title': 'Pop', 'value': 1.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Noha', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}]"
64,Iran,32,IRN,32,"[{'title': 'Comedy', 'value': 1.0}, {'title': 'Pop Rock', 'value': 1.0}, {'title': 'New Wave', 'value': 1.0}, {'title': 'Rock', 'value': 1.0}, {'title': 'Persian', 'value': 1.0}, {'title': 'Persian Traditional', 'value': 1.0}, {'title': 'Country Rock', 'value': 1.0}, {'title': 'Pop', 'value': 1.0}, {'title': 'Pop Punk', 'value': 1.0}, {'title': 'Nasheed', 'value': 1.0}]"
65,Pakistan,29,PAK,29,"[{'title': 'Pop', 'value': 2.0}, {'title': 'Rock', 'value': 1.0}, {'title': 'Electronica', 'value': 1.0}, {'title': 'Soul', 'value': 1.0}, {'title': 'Classical', 'value': 1.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}]"
66,Belarus,28,BLR,28,"[{'title': 'Black Metal', 'value': 1.0}, {'title': 'Thrash Metal', 'value': 1.0}, {'title': 'Pop Rock', 'value': 1.0}, {'title': 'New Rave', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
67,Panama,27,PAN,27,"[{'title': 'Salsa', 'value': 2.0}, {'title': 'Pop', 'value': 1.0}, {'title': 'Reggae', 'value': 1.0}, {'title': 'Heavy Metal', 'value': 1.0}, {'title': 'Big Band', 'value': 1.0}, {'title': 'New Wave', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}]"
68,Malta,25,MLT,25,[]
69,Bulgaria,23,BGR,23,"[{'title': 'Folk', 'value': 2.0}, {'title': 'Death Metal', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'New Wave', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}]"
70,Costa Rica,21,CRI,21,"[{'title': 'Progressive Metal', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'New Wave', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
71,Egypt,19,EGY,19,"[{'title': 'Singer-Songwriter', 'value': 2.0}, {'title': 'Chanson', 'value': 2.0}, {'title': 'Disco', 'value': 1.0}, {'title': 'Schlager', 'value': 1.0}, {'title': 'Pop', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}]"
72,Moldova,19,MDA,19,"[{'title': 'Eurodance', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'New Wave', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
73,Trinidad and Tobago,18,TTO,18,"[{'title': 'Calypso', 'value': 3.0}, {'title': 'R\\u0026B', 'value': 2.0}, {'title': 'Pop', 'value': 1.0}, {'title': 'Contemporary Christian', 'value': 1.0}, {'title': 'Nintendocore', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}]"
74,Nigeria,17,NGA,17,"[{'title': 'Afrobeat', 'value': 2.0}, {'title': 'Hip Hop', 'value': 1.0}, {'title': 'Reggae Fusion', 'value': 1.0}, {'title': 'Blues', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Noise', 'value': 0.0}, {'title': 'Noise Pop', 'value': 0.0}, {'title': 'Noise Rock', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
75,Ecuador,17,ECU,17,"[{'title': 'Latin', 'value': 1.0}, {'title': 'Rock', 'value': 1.0}, {'title': 'Nintendocore', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
76,Bolivia,16,BOL,16,"[{'title': 'Alternative Rock', 'value': 1.0}, {'title': 'Black Metal', 'value': 1.0}, {'title': 'Rock', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}]"
77,Lebanon,16,LBN,16,"[{'title': 'Pop', 'value': 1.0}, {'title': 'Blues', 'value': 1.0}, {'title': 'Italo Disco', 'value': 1.0}, {'title': 'Rock', 'value': 1.0}, {'title': 'Neo Soul', 'value': 0.0}, {'title': 'Nintendocore', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}]"
78,Taiwan,15,TWN,15,"[{'title': 'Mandopop', 'value': 2.0}, {'title': 'Hip Hop', 'value': 1.0}, {'title': 'Power Metal', 'value': 1.0}, {'title': 'Rock', 'value': 1.0}, {'title': 'Trance', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Nintendocore', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}]"
79,Luxembourg,13,LUX,13,"[{'title': 'Dark Ambient', 'value': 1.0}, {'title': 'Symphonic Metal', 'value': 1.0}, {'title': 'Symphonic Black Metal', 'value': 1.0}, {'title': 'Musical', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
80,Morocco,13,MAR,13,"[{'title': 'Heavy Metal', 'value': 1.0}, {'title': 'Singer-Songwriter', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'New Rave', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
81,Faroe Islands,12,FRO,12,"[{'title': 'Folk Metal', 'value': 1.0}, {'title': 'Indie Rock', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'New Wave', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}]"
82,Hong Kong,12,HKG,12,"[{'title': 'Cantopop', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'New Wave', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
83,China,11,CHN,11,"[{'title': 'Chanson', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Nintendocore', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
84,Thailand,11,THA,11,"[{'title': 'R\\u0026B', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Nintendocore', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
85,Barbados,10,BRB,10,"[{'title': 'Hip Hop', 'value': 2.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'New Wave', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
86,Guatemala,9,GTM,9,"[{'title': 'Latin Pop', 'value': 1.0}, {'title': 'Heavy Metal', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Nintendocore', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}]"
87,Algeria,8,DZA,8,[]
88,Azerbaijan,8,AZE,8,"[{'title': 'Pop', 'value': 2.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}, {'title': 'Noise Rock', 'value': 0.0}, {'title': 'Noise Pop', 'value': 0.0}]"
89,Mali,8,MLI,8,"[{'title': 'Rock', 'value': 1.0}, {'title': 'Folk', 'value': 1.0}, {'title': 'Pop', 'value': 1.0}, {'title': 'New Rave', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
90,Macedonia,8,MKD,8,"[{'title': 'Punk Rock', 'value': 2.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Nintendocore', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
91,Senegal,8,SEN,8,"[{'title': 'World Music', 'value': 1.0}, {'title': 'Mbalax', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Nintendocore', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}]"
92,Paraguay,7,PRY,7,"[{'title': 'Reggae', 'value': 2.0}, {'title': 'Brazilian', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Nintendocore', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}]"
93,Cameroon,7,CMR,7,"[{'title': 'World Music', 'value': 1.0}, {'title': 'Singer-Songwriter', 'value': 1.0}, {'title': 'Funk', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'New Rave', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
94,Montenegro,7,MNE,7,"[{'title': 'Singer-Songwriter', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'New Wave', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
95,Cyprus,7,CYP,7,"[{'title': 'Rock', 'value': 1.0}, {'title': 'Pop', 'value': 1.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}, {'title': 'Noise Rock', 'value': 0.0}]"
96,Georgia,7,GEO,7,"[{'title': 'Alternative Rock', 'value': 1.0}, {'title': 'Acoustic', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Oi-Punk', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}]"
97,Guadeloupe,7,FRA,7,"[{'title': 'Zouk', 'value': 1.0}, {'title': 'Folk', 'value': 1.0}, {'title': 'New Rave', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}, {'title': 'Noise Rock', 'value': 0.0}]"
98,Democratic Republic of the Congo,7,98,7,"[{'title': 'Hip Hop', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'New Wave', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
99,Tunisia,7,TUN,7,"[{'title': 'Pop', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}, {'title': 'Noise Rock', 'value': 0.0}, {'title': 'Noise Pop', 'value': 0.0}]"
100,Syria,6,SYR,6,"[{'title': 'Hardcore Punk', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'New Wave', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
101,Isle of Man,6,IMN,6,"[{'title': 'Pop', 'value': 1.0}, {'title': 'Classical', 'value': 1.0}, {'title': 'Singer-Songwriter', 'value': 1.0}, {'title': 'New Wave', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
102,Tanzania,6,TZA,6,"[{'title': 'Rock', 'value': 1.0}, {'title': 'Gospel', 'value': 1.0}, {'title': 'Eurodance', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Nintendocore', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}]"
103,Republic of Kosovo,6,103,6,[]
104,Armenia,6,ARM,6,"[{'title': 'Schlager', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Nintendocore', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
105,Uganda,6,UGA,6,"[{'title': 'Dancehall', 'value': 1.0}, {'title': 'Nintendocore', 'value': 0.0}, {'title': 'Oi-Punk', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
106,Bangladesh,6,BGD,6,"[{'title': 'Folk', 'value': 1.0}, {'title': 'Hard Rock', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'New Wave', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}]"
107,Angola,6,AGO,6,[]
108,The Bahamas,6,BHS,6,"[{'title': 'Pop', 'value': 1.0}, {'title': 'World Music', 'value': 1.0}, {'title': 'Calypso', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
109,Monaco,6,MCO,6,"[{'title': 'Singer-Songwriter', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'New Wave', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
110,Suriname,5,SUR,5,"[{'title': 'Schlager', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Nintendocore', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
111,Guyana,5,GUY,5,"[{'title': '2-tone', 'value': 1.0}, {'title': 'Dance', 'value': 1.0}, {'title': 'New Wave', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
112,Nicaragua,5,NIC,5,[]
113,Jordan,4,JOR,4,"[{'title': 'Drum And Bass', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Nintendocore', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
114,Iraq,4,IRQ,4,[]
115,Côte d'Ivoire,4,CIV,4,"[{'title': 'Reggae', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Nintendocore', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
116,Martinique,4,MTQ,4,"[{'title': 'Zouk', 'value': 1.0}, {'title': 'Reggae', 'value': 1.0}, {'title': 'Nintendocore', 'value': 0.0}, {'title': 'Nueva canción', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
117,Honduras,4,HND,4,[]
