,name,value,id,size,genres
13,Mexico,611,MEX,611,"[{'title': 'Pop', 'value': 16.0}, {'title': 'Rock', 'value': 10.0}, {'title': 'Latin Pop', 'value': 9.0}, {'title': 'Latin', 'value': 6.0}, {'title': 'Alternative Rock', 'value': 5.0}, {'title': ""Children's Music"", 'value': 5.0}, {'title': 'Norteño', 'value': 5.0}, {'title': 'Banda', 'value': 4.0}, {'title': 'Aggrotech', 'value': 4.0}, {'title': 'Soundtrack', 'value': 3.0}]"
14,Poland,559,POL,559,"[{'title': 'Hip Hop', 'value': 15.0}, {'title': 'Pop', 'value': 13.0}, {'title': 'Rock', 'value': 11.0}, {'title': 'Heavy Metal', 'value': 7.0}, {'title': 'Gothic Metal', 'value': 7.0}, {'title': 'Black Metal', 'value': 6.0}, {'title': 'Progressive Rock', 'value': 4.0}, {'title': 'Synthpop', 'value': 4.0}, {'title': 'Death Metal', 'value': 4.0}, {'title': 'House', 'value': 2.0}]"
15,Norway,537,NOR,537,"[{'title': 'Pop', 'value': 17.0}, {'title': 'Black Metal', 'value': 15.0}, {'title': 'Rock', 'value': 9.0}, {'title': 'Folk', 'value': 7.0}, {'title': 'Heavy Metal', 'value': 6.0}, {'title': 'Gothic Metal', 'value': 5.0}, {'title': 'Progressive Metal', 'value': 5.0}, {'title': 'Electronic', 'value': 5.0}, {'title': 'Avant-garde Metal', 'value': 4.0}, {'title': 'Synthpop', 'value': 4.0}]"
16,Argentina,442,ARG,442,"[{'title': 'Rock', 'value': 21.0}, {'title': 'Reggae', 'value': 7.0}, {'title': 'Hard Rock', 'value': 4.0}, {'title': 'Latin Rock', 'value': 4.0}, {'title': 'Punk Rock', 'value': 3.0}, {'title': 'Singer-Songwriter', 'value': 3.0}, {'title': 'Heavy Metal', 'value': 3.0}, {'title': 'Ska', 'value': 2.0}, {'title': 'Hardcore Punk', 'value': 2.0}, {'title': 'Pop', 'value': 2.0}]"
17,Belgium,373,BEL,373,"[{'title': 'Pop', 'value': 11.0}, {'title': 'EBM', 'value': 4.0}, {'title': 'Singer-Songwriter', 'value': 4.0}, {'title': 'Alternative Rock', 'value': 4.0}, {'title': 'Industrial', 'value': 3.0}, {'title': 'Folk', 'value': 3.0}, {'title': 'House', 'value': 3.0}, {'title': 'Rock', 'value': 2.0}, {'title': 'Eurodance', 'value': 2.0}, {'title': 'Hip Hop', 'value': 2.0}]"
18,Denmark,364,DNK,364,"[{'title': 'Pop', 'value': 15.0}, {'title': 'Rock', 'value': 12.0}, {'title': 'Indie Pop', 'value': 5.0}, {'title': 'Hip Hop', 'value': 5.0}, {'title': 'Electronic', 'value': 4.0}, {'title': 'Black Metal', 'value': 4.0}, {'title': 'Heavy Metal', 'value': 3.0}, {'title': 'Alternative Rock', 'value': 2.0}, {'title': 'Industrial', 'value': 2.0}, {'title': 'EDM', 'value': 2.0}]"
19,Scotland,354,GBR,354,"[{'title': 'Folk', 'value': 16.0}, {'title': 'Rock', 'value': 14.0}, {'title': 'Pop', 'value': 13.0}, {'title': 'Alternative Rock', 'value': 12.0}, {'title': 'Indie Rock', 'value': 6.0}, {'title': 'Singer-Songwriter', 'value': 5.0}, {'title': 'New Wave', 'value': 5.0}, {'title': 'Celtic', 'value': 4.0}, {'title': 'Folk Rock', 'value': 4.0}, {'title': 'Indie Pop', 'value': 4.0}]"
20,Russia,301,RUS,301,"[{'title': 'Hip Hop', 'value': 6.0}, {'title': 'Pop', 'value': 4.0}, {'title': 'Rock', 'value': 3.0}, {'title': 'Electronic', 'value': 3.0}, {'title': 'Black Metal', 'value': 2.0}, {'title': 'Pagan Metal', 'value': 2.0}, {'title': 'Country', 'value': 2.0}, {'title': 'Chanson', 'value': 2.0}, {'title': 'Neofolk', 'value': 2.0}, {'title': 'Death Metal', 'value': 1.0}]"
21,Turkey,297,TUR,297,"[{'title': 'Pop', 'value': 5.0}, {'title': 'Folk', 'value': 4.0}, {'title': 'Singer-Songwriter', 'value': 2.0}, {'title': 'Death Metal', 'value': 2.0}, {'title': 'Gothic Metal', 'value': 2.0}, {'title': 'Thrash Metal', 'value': 2.0}, {'title': 'Progressive Metal', 'value': 1.0}, {'title': 'Crossover Thrash', 'value': 1.0}, {'title': 'Blues', 'value': 1.0}, {'title': 'Symphonic Metal', 'value': 1.0}]"
22,Austria,290,AUT,290,"[{'title': 'Singer-Songwriter', 'value': 20.0}, {'title': 'Chanson', 'value': 9.0}, {'title': 'Schlager', 'value': 7.0}, {'title': 'Rock', 'value': 5.0}, {'title': 'Electronic', 'value': 4.0}, {'title': 'Black Metal', 'value': 4.0}, {'title': 'Deep House', 'value': 3.0}, {'title': 'Acoustic', 'value': 3.0}, {'title': 'Heavy Metal', 'value': 3.0}, {'title': 'Drum And Bass', 'value': 2.0}]"
23,Ireland,284,IRL,284,"[{'title': 'Celtic', 'value': 13.0}, {'title': 'Pop', 'value': 13.0}, {'title': 'Rock', 'value': 7.0}, {'title': 'Folk', 'value': 7.0}, {'title': 'Alternative Rock', 'value': 5.0}, {'title': 'Blues Rock', 'value': 3.0}, {'title': 'Art Rock', 'value': 3.0}, {'title': 'Indie Rock', 'value': 3.0}, {'title': 'Black Metal', 'value': 2.0}, {'title': 'Irish Folk', 'value': 2.0}]"
24,Portugal,233,PRT,233,"[{'title': 'Singer-Songwriter', 'value': 12.0}, {'title': 'Pop', 'value': 9.0}, {'title': 'Rock', 'value': 7.0}, {'title': 'Alternative Rock', 'value': 5.0}, {'title': 'Pop Rock', 'value': 3.0}, {'title': 'Hip Hop', 'value': 3.0}, {'title': 'Fado', 'value': 1.0}, {'title': 'Electronic', 'value': 1.0}, {'title': 'Black Metal', 'value': 1.0}, {'title': 'Punk Rock', 'value': 1.0}]"
